2023年11月30日,Power
00:00,2228.6223
00:15,2255.0546
00:30,2295.4023
00:45,2318.541
01:00,2293.4594
01:05,2330.3559
01:10,2292.8189
01:15,2233.871
01:20,2262.793
01:25,2278.8008
01:30,2387.4146
01:35,2325.0148
01:40,2267.1608
01:45,2246.2206
01:50,2255.3031
01:55,2319.8153
02:00,2349.2663
02:05,2458.3997
02:10,2367.714
02:15,2308.2903
02:20,2181.4102
02:25,2259.7486
02:30,2297.4147
02:35,2358.68
02:40,2271.8977
02:45,2217.4195
02:50,2316.3141
02:55,2312.745
03:00,2244.1435
03:05,2320.6356
03:10,2345.9766
03:15,2430.4868
03:20,2399.3353
03:25,2409.1543
03:30,2412.1695
03:35,2392.2842
03:40,2386.839
03:45,2367.188
03:50,2299.3869
03:55,2457.0851
04:00,2472.5956
04:05,2451.0506
04:10,2375.8849
04:15,2338.3834
04:20,2452.1548
04:25,2431.4441
04:30,2346.6566
04:35,2396.2628
04:40,2385.1613
04:45,2545.2345
04:50,2427.3115
04:55,2358.1178
05:00,2404.2776
05:05,2328.6138
05:10,2344.8181
05:15,2450.9212
05:20,2452.8558
05:25,2545.6868
05:30,2479.8181
05:35,2541.7996
05:40,2572.2152
05:45,2487.6877
05:50,2517.4293
05:55,2567.4557
06:00,2588.1378
06:05,2678.8673
06:10,2810.3979
06:15,2803.5518
06:20,2959.7079
06:25,2893.7021
06:30,2891.8349
06:35,2823.9904
06:40,2641.9857
06:45,2620.4555
06:50,2601.3275
06:55,2765.2817
07:00,2764.5682
07:05,2896.8925
07:10,2962.5469
07:15,2923.333
07:20,2770.8876
07:25,2798.0594
07:30,2659.1877
07:35,3722.5516
07:40,3837.5826
07:45,3890.9141
07:50,4003.8893
07:55,4016.6333
08:00,4099.0085
08:05,4391.9656
08:10,4423.8429
08:15,4330.3566
08:20,4229.6008
08:25,4216.0521
08:30,3988.8717
08:35,4052.5992
08:40,4308.2259
08:45,4368.2672
08:50,4347.5177
08:55,4165.9928
09:00,4013.6967
09:05,4026.7055
09:10,3991.325
09:15,3968.6415
09:20,3909.4548
09:25,4069.8726
09:30,4171.5463
09:35,4353.2748
09:40,4440.041
09:45,4216.8904
09:50,4132.8205
09:55,4206.6804
10:00,4526.8343
10:05,4551.5109
10:10,4462.8102
10:15,4522.2764
10:20,4394.7627
10:25,4678.7098
10:30,4509.8775
10:35,4494.17
10:40,4574.5624
10:45,5117.0869
10:50,4470.8524
10:55,4525.7663
11:00,4831.8505
11:05,4485.7947
11:10,4596.8698
11:15,4764.4135
11:20,4663.0849
11:25,4501.5205
11:30,4585.488
11:35,3205.8684
11:40,3076.6981
11:45,2999.7068
11:50,2804.8504
11:55,2737.3711
12:00,2703.5537
12:05,2886.622
12:10,2475.3309
12:15,2558.3937
12:20,2580.7782
12:25,2650.276
12:30,2665.0492
12:35,2753.5735
12:40,2947.7806
12:45,2977.2986
12:50,3161.2375
12:55,3242.5132
13:00,3296.1646
13:05,3219.9491
13:10,3197.1983
13:15,3264.6869
13:20,3255.7555
13:25,3096.8682
13:30,3228.6687
13:35,3379.8547
13:40,3492.9856
13:45,3462.6137
13:50,3437.8205
13:55,3315.3992
14:00,3267.8544
14:05,3342.4456
14:10,3362.257
14:15,3333.6206
14:20,3240.3582
14:25,3141.1543
14:30,3203.2482
14:35,3307.0416
14:40,3255.7747
14:45,3106.6892
14:50,3168.8201
14:55,3101.0943
15:00,3094.9844
15:05,3240.033
15:10,3198.7249
15:15,3000.9373
15:20,3053.4158
15:25,3169.7291
15:30,3107.0488
15:35,3108.0976
15:40,3102.6933
15:45,3141.3545
15:50,3147.1263
15:55,3144.6881
16:00,3191.2964
16:05,3387.3122
16:10,3006.5032
16:15,2939.1406
16:20,2702.8446
16:25,2681.956
16:30,2678.4961
16:35,2694.4263
16:40,2477.7956
16:45,2301.0176
16:50,2183.3566
16:55,2248.409
17:00,2256.2893
17:05,2405.7252
17:10,2473.7334
17:15,2405.0985
17:20,2341.5436
17:25,2293.9598
17:30,2361.8921
17:35,2318.5077
17:40,2329.5433
17:45,2260.4824
17:50,2184.5431
17:55,2170.9535
18:00,2165.1363
18:05,1849.4218
18:10,1873.5004
18:15,1871.0685
18:20,1951.378
18:25,2089.4125
18:30,2050.4822
18:35,2370.9706
18:40,2304.2531
18:45,2315.0809
18:50,2241.8638
18:55,2434.2833
19:00,2290.3421
19:05,2431.1262
19:10,2496.2935
19:15,2350.5371
19:20,2584.4854
19:25,2484.6553
19:30,2576.3807
19:35,2476.785
19:40,2504.3128
19:45,2177.6043
19:50,2261.4714
19:55,2176.8512
20:00,2070.0814
20:05,2122.0412
20:10,2128.9153
20:15,2098.949
20:20,2237.3468
20:25,2217.0202
20:30,2071.0025
20:35,1999.3417
20:40,1983.4303
20:45,1940.0108
20:50,2015.2661
20:55,2135.6639
21:00,2203.0577
21:05,2614.3738
21:10,2465.2651
21:15,2449.9192
21:20,2426.7619
21:25,2576.5181
21:30,2434.4021
21:35,2559.3371
21:40,2651.5328
21:45,2448.245
21:50,2478.1227
21:55,2381.2306
22:00,2487.7672
22:05,2581.1274
22:10,2583.3672
22:15,2553.8236
22:20,2472.9376
22:25,2323.3846
22:30,2318.0752
22:35,2312.8969
22:40,2345.7622
22:45,2642.3931
22:50,2515.1845
22:55,2491.1675
23:00,2539.4317
23:05,2608.724
23:10,2380.6346
23:15,2314.4936
23:20,2338.6437
23:25,2286.4814
23:30,2292.482
23:35,2257.6543
23:40,2208.6374
23:45,2133.8116
23:50,2149.2454
23:55,2243.6649
00:00,2169.7179
