2023年11月30日,Power
2024-05-10 00:00:00,2228.6223
2024-05-10 00:15:00,2255.0546
2024-05-10 00:30:00,2295.4023
2024-05-10 00:45:00,2318.541
2024-05-10 01:00:00,2293.4594
2024-05-10 01:15:00,2233.871
2024-05-10 01:30:00,2387.4146
2024-05-10 01:45:00,2246.2206
2024-05-10 02:00:00,2349.2663
2024-05-10 02:15:00,2308.2903
2024-05-10 02:30:00,2297.4147
2024-05-10 02:45:00,2217.4195
2024-05-10 03:00:00,2244.1435
2024-05-10 03:15:00,2430.4868
2024-05-10 03:30:00,2412.1695
2024-05-10 03:45:00,2367.188
2024-05-10 04:00:00,2472.5956
2024-05-10 04:15:00,2338.3834
2024-05-10 04:30:00,2346.6566
2024-05-10 04:45:00,2545.2345
2024-05-10 05:00:00,2404.2776
2024-05-10 05:15:00,2450.9212
2024-05-10 05:30:00,2479.8181
2024-05-10 05:45:00,2487.6877
2024-05-10 06:00:00,2588.1378
2024-05-10 06:15:00,2803.5518
2024-05-10 06:30:00,2891.8349
2024-05-10 06:45:00,2620.4555
2024-05-10 07:00:00,2764.5682
2024-05-10 07:15:00,2923.333
2024-05-10 07:30:00,2659.1877
2024-05-10 07:45:00,3890.9141
2024-05-10 08:00:00,4099.0085
2024-05-10 08:15:00,4330.3566
2024-05-10 08:30:00,3988.8717
2024-05-10 08:45:00,4368.2672
2024-05-10 09:00:00,4013.6967
2024-05-10 09:15:00,3968.6415
2024-05-10 09:30:00,4171.5463
2024-05-10 09:45:00,4216.8904
2024-05-10 10:00:00,4526.8343
2024-05-10 10:15:00,4522.2764
2024-05-10 10:30:00,4509.8775
2024-05-10 10:45:00,5117.0869
2024-05-10 11:00:00,4831.8505
2024-05-10 11:15:00,4764.4135
2024-05-10 11:30:00,4585.488
2024-05-10 11:45:00,2999.7068
2024-05-10 12:00:00,2703.5537
2024-05-10 12:15:00,2558.3937
2024-05-10 12:30:00,2665.0492
2024-05-10 12:45:00,2977.2986
2024-05-10 13:00:00,3296.1646
2024-05-10 13:15:00,3264.6869
2024-05-10 13:30:00,3228.6687
2024-05-10 13:45:00,3462.6137
2024-05-10 14:00:00,3267.8544
2024-05-10 14:15:00,3333.6206
2024-05-10 14:30:00,3203.2482
2024-05-10 14:45:00,3106.6892
2024-05-10 15:00:00,3094.9844
2024-05-10 15:15:00,3000.9373
2024-05-10 15:30:00,3107.0488
2024-05-10 15:45:00,3141.3545
2024-05-10 16:00:00,3191.2964
2024-05-10 16:15:00,2939.1406
2024-05-10 16:30:00,2678.4961
2024-05-10 16:45:00,2301.0176
2024-05-10 17:00:00,2256.2893
2024-05-10 17:15:00,2405.0985
2024-05-10 17:30:00,2361.8921
2024-05-10 17:45:00,2260.4824
2024-05-10 18:00:00,2165.1363
2024-05-10 18:15:00,1871.0685
2024-05-10 18:30:00,2050.4822
2024-05-10 18:45:00,2315.0809
2024-05-10 19:00:00,2290.3421
2024-05-10 19:15:00,2350.5371
2024-05-10 19:30:00,2576.3807
2024-05-10 19:45:00,2177.6043
2024-05-10 20:00:00,2070.0814
2024-05-10 20:15:00,2098.949
2024-05-10 20:30:00,2071.0025
2024-05-10 20:45:00,1940.0108
2024-05-10 21:00:00,2203.0577
2024-05-10 21:15:00,2449.9192
2024-05-10 21:30:00,2434.4021
2024-05-10 21:45:00,2448.245
2024-05-10 22:00:00,2487.7672
2024-05-10 22:15:00,2553.8236
2024-05-10 22:30:00,2318.0752
2024-05-10 22:45:00,2642.3931
2024-05-10 23:00:00,2539.4317
2024-05-10 23:15:00,2314.4936
2024-05-10 23:30:00,2292.482
2024-05-10 23:45:00,2133.8116
2024-05-10 00:00:00,2169.7179
