Time,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
2024-04-26 00:00:00,2169.7179,3826.8258,4014.385,2863.7006,3906.3462,3028.1249,3280.0008,2885.1288,2943.3398,1838.8755,1970.1416,2799.2723,3132.891,2783.0086,2154.9342,3150.7893,3026.3917,2084.7847,3585.7545,3522.1383,3707.9218,1930.5716,2773.2374,2118.9151,3570.0055,2125.0,2592.1377,3596.8237,2203.5725,2204.1964,1963.4186
2024-04-26 00:15:00,2347.8838,3678.173,3910.7437,2792.3376,3808.6916,3070.1204,3166.4712,2947.5458,2940.9147,1810.8899,1991.0301,3015.564,3147.6311,2382.1737,2131.8879,3094.6849,3092.78,1992.9308,3677.2408,3822.5197,4294.4271,1949.2665,2890.9426,2681.3056,3669.3075,2229.8587,2677.5203,3610.9142,2257.151,2125.5046,1960.3327
2024-04-26 00:30:00,2456.4616,3782.7988,4341.7243,2761.766,3949.2169,3115.2907,3214.6772,2904.4472,2677.0504,2013.0214,2062.116,3380.045,2995.4571,2337.19,2211.9355,3013.7976,3108.0522,1825.469,3587.5032,3513.322,3986.549,1980.7083,2556.0272,2484.9279,3583.5709,2195.9456,2502.5346,3487.3332,2344.7117,2134.6283,1885.5316
2024-04-26 00:45:00,2356.5256,3758.1876,4504.7846,2315.0359,4020.0112,3041.0066,3244.9156,2781.0989,2451.8984,2172.1664,2134.8325,3325.2503,2976.7499,2538.8124,2003.0509,3030.2665,3077.3211,1823.4766,3474.2743,3403.1506,4154.7117,2017.406,2643.3954,2512.5005,3690.9366,2303.8024,2528.8213,3703.2991,2343.5666,2114.1075,1840.6804
2024-04-26 01:00:00,3785.565,3541.8275,4302.6806,2180.9928,4052.4667,3197.3647,3300.446,2726.6125,2520.6073,2112.0427,2177.7948,3592.2415,2765.8212,2197.7229,1920.0533,2729.4907,3178.0095,1960.9262,2886.3669,3330.6946,4257.9066,2104.1398,2655.5252,2562.7974,3695.2289,2667.9211,2486.3116,3517.919,2360.5067,1972.1724,1963.8491
2024-04-26 01:15:00,3719.2896,3421.3461,4357.0155,2236.1673,3931.9929,3041.9725,3184.0797,2714.7032,2375.0082,2311.2657,2259.1425,3605.377,2533.0093,2119.7644,1897.5584,2783.5725,3087.6931,2042.7027,2538.3735,3341.4869,3902.6838,2079.8156,2469.4183,2524.5348,3577.888,2701.2632,2400.4558,3986.0108,2102.1966,2006.778,1932.4588
2024-04-26 01:30:00,3747.285,3401.7568,3971.7994,2276.5031,3820.8499,2955.405,3219.4527,2439.3675,2432.8721,2306.7516,2172.8968,3540.1433,2545.9227,2074.1698,1916.0763,2780.5391,3140.4497,1644.623,2430.8237,3565.7337,4110.0925,2090.3847,2735.7069,2742.062,3712.7099,2624.4543,2399.8963,4128.7077,2062.2501,2067.2832,1933.383
2024-04-26 01:45:00,3571.2743,3187.2292,3775.3095,2430.3633,3862.1855,2890.6782,3139.2392,2320.3334,2389.9762,2380.8522,2094.3868,3451.2997,2429.7231,1984.1393,1947.0717,2882.0469,3149.7803,1878.7037,2642.3057,3121.1423,4178.008,2133.4883,2681.0495,2223.7595,3700.7614,2782.4052,2325.0092,2909.9343,2207.2957,2401.7079,1900.7332
2024-04-26 02:00:00,3420.7685,3218.8604,3729.8837,2452.0915,3900.7746,2764.0224,3018.3951,2111.7359,2450.8619,2269.0639,2081.4728,3483.8525,2388.4736,2004.7213,1945.489,2760.4704,3262.7901,1863.6448,2517.161,3134.7352,4110.8052,2065.1665,2800.123,2414.3601,2901.9341,2757.4647,2491.4063,2741.8825,2071.1824,2662.0028,1816.2966
2024-04-26 02:15:00,3395.8682,3411.6239,3423.0499,2740.0015,3832.0409,2771.3146,2841.0806,2287.0544,2801.2021,2193.1812,2076.8073,3217.6834,2516.8324,2081.4336,1851.2431,2716.9311,3102.4995,1859.7358,2555.9652,3220.6094,3830.3631,2073.3733,2883.1931,2453.2085,2897.429,2828.6647,2388.4533,2908.7221,2080.2878,2898.0218,1776.1274
